GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
By Year,2023-24,1610612754,IND,2024-02-26T00:00:00,18,9,9,0.5,596.4416666666667,156,280,0.557,24,58,0.414,44,67,0.657,33,90,123,82,26,16,5,12,50,60,380,47,687.6,2,1,651.0,9,9,1,6,9,8,8,1,8,8,1,8,8,8,9,9,9,8,9,9,9,1,1,8,8,7,8,7,3,8,Pascal Siakam
By Year,2023-24,1610612761,TOR,2024-01-15T00:00:00,39,15,24,0.385,1354.415,325,623,0.522,46,145,0.317,169,223,0.758,54,192,246,190,83,32,10,21,87,175,865,9,1488.2,5,0,1431.0,8,8,6,8,7,6,6,3,6,6,6,6,6,5,8,7,7,6,6,7,8,3,2,6,6,8,7,6,5,6,Pascal Siakam
By Year,2023-24,1610612751,BKN,2024-02-26T00:00:00,15,7,8,0.467,358.9166666666667,43,74,0.581,0,0,0.0,6,15,0.4,31,88,119,86,27,12,9,3,36,21,92,-38,399.8,3,0,339.0,6,6,1,6,6,6,6,1,3,6,3,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6,6,6,Ben Simmons
By Year,2023-24,1610612757,POR,2024-02-25T00:00:00,33,7,26,0.212,1110.4483333333333,257,602,0.427,109,287,0.38,119,130,0.915,15,102,117,172,86,16,4,37,75,97,742,-302,1114.4,2,0,1180.0,5,6,2,6,4,3,3,4,4,3,3,2,2,1,4,5,5,3,3,5,5,3,2,2,3,6,3,1,1,3,Anfernee Simons
By Year,2023-24,1610612752,NYK,2024-02-26T00:00:00,31,21,10,0.677,361.61,27,39,0.692,0,0,0.0,8,12,0.667,34,55,89,13,9,3,11,2,27,13,62,-28,221.3,0,0,192.0,3,2,1,1,3,3,3,3,1,2,1,3,3,2,3,3,3,3,3,3,3,2,1,3,3,2,3,3,1,3,Jericho Sims
By Year,2023-24,1610612758,SAC,2023-12-11T00:00:00,5,3,2,0.6,18.69333333333333,2,3,0.667,0,1,0.0,0,0,0.0,0,4,4,2,2,0,1,0,3,0,4,-14,12.8,0,0,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jalen Slawson
By Year,2023-24,1610612755,PHI,2023-12-22T00:00:00,1,1,0,1.0,0.6666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0,0,0.0,3,3,1,1,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,1,1,2,3,1,3,1,1,3,Javonte Smart
By Year,2023-24,1610612763,MEM,2024-01-09T00:00:00,20,7,13,0.35,604.845,102,237,0.43,42,134,0.313,43,56,0.768,6,47,53,86,62,41,5,5,53,58,289,-20,557.6,0,0,562.0,10,10,1,10,10,10,10,1,10,10,7,10,10,7,10,10,10,10,10,10,10,1,1,10,10,10,10,8,2,10,Marcus Smart
By Year,2023-24,1610612748,MIA,2023-11-22T00:00:00,9,7,2,0.778,130.895,15,33,0.455,7,17,0.412,2,2,1.0,6,8,14,14,5,9,3,1,12,6,39,-43,107.8,0,0,98.0,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,3,1,1,1,1,Dru Smith
By Year,2023-24,1610612766,CHA,2024-02-07T00:00:00,43,6,37,0.14,740.8466666666667,66,158,0.418,4,8,0.5,3,4,0.75,11,65,76,145,47,17,4,7,49,14,139,-280,463.7,0,0,406.0,8,17,16,20,8,12,12,9,11,15,1,15,17,3,10,10,10,11,8,12,14,8,13,13,12,19,11,7,1,11,Ish Smith
