GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
By Year,2023-24,1610612738,BOS,2024-02-24T00:00:00,54,43,11,0.796,1938.4516666666666,496,1044,0.475,166,456,0.364,297,362,0.82,47,411,458,260,137,57,32,44,110,250,1455,445,2524.6,20,0,2517.0,7,6,1,1,7,5,5,2,5,5,5,3,3,6,7,4,6,4,5,7,6,1,1,4,5,4,5,3,3,5,Jayson Tatum
By Year,2023-24,1610612741,CHI,2024-02-25T00:00:00,20,9,11,0.45,141.14666666666668,16,29,0.552,1,7,0.143,1,1,1.0,14,15,29,7,7,4,2,2,13,1,34,16,90.3,0,0,83.0,3,1,2,2,3,3,3,3,3,3,4,3,4,1,3,3,3,3,3,2,3,2,2,4,3,2,3,2,1,3,Terry Taylor
By Year,2023-24,1610612761,TOR,2024-02-10T00:00:00,16,4,12,0.25,68.87666666666667,8,21,0.381,2,9,0.222,5,6,0.833,5,6,11,6,5,3,0,2,6,4,23,-10,49.2,0,0,48.0,13,15,9,19,17,16,16,12,17,17,16,15,15,2,12,16,16,16,15,16,18,6,3,15,16,6,16,2,1,16,Garrett Temple
By Year,2023-24,1610612741,CHI,2024-02-25T00:00:00,37,18,19,0.486,377.8283333333333,32,81,0.395,10,44,0.227,17,24,0.708,14,50,64,48,18,13,8,4,51,20,91,29,284.8,0,0,255.0,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,Dalen Terry
By Year,2023-24,-1,TOT,2024-02-25T00:00:00,41,30,11,0.732,685.8216666666667,105,194,0.541,16,40,0.4,31,43,0.721,61,88,149,41,28,18,36,22,96,42,257,12,631.3,0,0,571.0,3,1,1,1,3,3,3,1,3,3,1,3,3,1,2,3,3,2,3,3,2,2,1,3,3,1,3,3,1,3,Daniel Theis
By Year,2023-24,1610612746,LAC,2024-02-25T00:00:00,40,29,11,0.725,677.3883333333333,104,190,0.547,16,39,0.41,31,43,0.721,61,88,149,41,28,18,36,21,95,41,255,12,629.3,0,0,569.0,5,4,4,3,5,5,5,5,6,7,1,5,5,4,4,7,5,5,6,5,5,9,6,7,5,5,5,8,1,5,Daniel Theis
By Year,2023-24,1610612754,IND,2023-11-09T00:00:00,1,1,0,1.0,8.433333333333334,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,2,0,2.0,0,0,2.0,10,9,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,10,10,7,10,8,1,10,Daniel Theis
By Year,2023-24,1610612751,BKN,2024-02-26T00:00:00,48,17,31,0.354,1430.735,362,828,0.437,96,267,0.36,183,218,0.839,18,120,138,128,85,36,12,57,99,182,1003,-152,1419.6,0,0,1461.0,3,3,2,3,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,3,3,1,1,3,1,1,1,1,Cam Thomas
By Year,2023-24,1610612745,HOU,2024-02-25T00:00:00,38,14,24,0.368,754.1166666666667,124,243,0.51,7,45,0.156,53,84,0.631,67,147,214,93,57,44,23,20,86,72,308,-66,848.3,6,0,756.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Amen Thompson
By Year,2023-24,1610612765,DET,2024-02-26T00:00:00,57,8,49,0.14,1389.0583333333334,209,425,0.492,14,89,0.157,61,103,0.592,121,242,363,108,77,58,52,31,163,106,493,-223,1343.6,2,0,1198.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ausar Thompson
By Year,2023-24,1610612744,GSW,2024-02-25T00:00:00,53,26,27,0.491,1608.3866666666668,320,765,0.418,172,462,0.372,93,101,0.921,25,159,184,118,80,30,27,19,96,69,905,-42,1393.8,0,0,1493.0,10,9,7,10,9,9,9,11,9,9,11,8,8,1,9,9,9,10,10,10,9,2,2,10,9,10,9,5,1,9,Klay Thompson
By Year,2023-24,1610612739,CLE,2024-01-22T00:00:00,36,24,12,0.667,445.6716666666667,61,93,0.656,0,1,0.0,13,42,0.31,59,81,140,40,23,8,11,8,50,48,135,43,397.0,1,0,353.0,11,7,2,2,12,12,12,1,3,7,3,13,13,14,12,12,12,8,12,13,12,2,3,13,12,4,12,11,1,12,Tristan Thompson
By Year,2023-24,1610612766,CHA,2024-02-25T00:00:00,45,11,34,0.244,580.66,51,139,0.367,19,60,0.317,7,13,0.538,38,71,109,17,11,8,18,14,45,11,128,-80,351.3,0,0,325.0,2,3,2,3,2,2,2,3,2,2,2,3,3,3,1,2,2,3,2,2,2,3,2,3,2,2,2,1,1,2,JT Thor
By Year,2023-24,1610612757,POR,2024-02-25T00:00:00,54,14,40,0.259,1247.1966666666667,98,258,0.38,67,197,0.34,16,20,0.8,22,82,104,67,28,94,41,7,77,26,279,-196,881.3,0,0,787.0,4,5,6,6,4,4,3,6,1,1,3,3,3,1,4,3,4,3,4,3,4,4,3,4,3,6,4,1,1,4,Matisse Thybulle
By Year,2023-24,-1,TOT,2024-02-22T00:00:00,35,15,20,0.429,702.78,88,214,0.411,12,53,0.226,18,43,0.419,56,101,157,57,29,42,36,20,61,36,206,-102,684.9,2,0,588.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Xavier Tillman
By Year,2023-24,1610612738,BOS,2024-02-22T00:00:00,1,1,0,1.0,2.55,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,2,0,5.0,0,0,4.0,5,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,4,1,5,Xavier Tillman
By Year,2023-24,1610612763,MEM,2024-01-29T00:00:00,34,14,20,0.412,700.23,87,213,0.408,12,53,0.226,18,43,0.419,56,101,157,57,29,42,35,20,60,36,204,-102,679.9,2,0,584.0,4,4,3,5,4,4,4,5,2,2,3,4,4,4,4,3,4,4,4,4,1,3,2,4,4,5,4,2,1,4,Xavier Tillman
By Year,2023-24,1610612752,NYK,2024-02-24T00:00:00,7,1,6,0.143,34.285,5,9,0.556,1,4,0.25,2,2,1.0,3,3,6,2,1,0,1,1,3,1,13,-17,25.2,0,0,24.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jacob Toppin
By Year,2023-24,1610612754,IND,2024-02-26T00:00:00,59,33,26,0.559,1312.605,243,433,0.561,75,188,0.399,57,77,0.74,63,166,229,94,52,32,29,24,107,68,618,52,1164.8,1,0,1138.0,4,3,1,2,1,2,2,1,2,2,1,2,2,3,2,2,2,1,2,1,2,3,4,2,2,3,2,2,1,2,Obi Toppin
By Year,2023-24,1610612750,MIN,2024-02-24T00:00:00,56,39,17,0.696,1839.2533333333333,448,872,0.514,128,294,0.435,240,273,0.879,82,392,474,163,158,39,37,60,182,245,1264,318,2147.3,21,0,2181.0,6,3,2,1,6,6,7,6,3,4,1,6,7,1,8,7,7,6,7,6,8,4,3,6,6,2,7,8,3,7,Karl-Anthony Towns
By Year,2023-24,1610612761,TOR,2024-02-26T00:00:00,53,21,32,0.396,1409.3366666666666,230,548,0.42,127,307,0.414,35,50,0.7,14,107,121,82,36,49,8,19,69,43,622,-91,1025.2,1,0,1066.0,4,5,5,6,3,3,3,3,3,3,2,5,4,6,5,3,3,3,3,3,4,5,4,5,3,7,3,1,1,3,Gary Trent Jr.
By Year,2023-24,1610612754,IND,2024-02-14T00:00:00,7,2,5,0.286,37.21666666666667,9,17,0.529,0,0,0.0,5,6,0.833,6,8,14,2,0,2,0,4,2,4,23,6,48.8,0,0,43.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Oscar Tshiebwe
By Year,2023-24,-1,TOT,2024-02-25T00:00:00,17,7,10,0.412,258.60833333333335,6,20,0.3,5,16,0.313,3,3,1.0,17,29,46,8,4,9,3,1,37,10,20,-11,119.2,0,0,103.0,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,3,3,1,3,2,1,3,P.J. Tucker
By Year,2023-24,1610612746,LAC,2024-02-25T00:00:00,14,5,9,0.357,192.26666666666668,4,15,0.267,3,11,0.273,3,3,1.0,16,16,32,8,2,6,1,1,28,9,14,-39,83.4,0,0,71.0,15,14,4,11,14,15,15,16,14,14,15,14,15,1,14,14,14,14,15,14,15,2,3,14,15,11,14,10,1,14,P.J. Tucker
By Year,2023-24,1610612755,PHI,2023-10-29T00:00:00,3,2,1,0.667,66.34166666666667,2,5,0.4,2,5,0.4,0,0,0.0,1,13,14,0,2,3,2,0,9,1,6,28,35.8,0,0,32.0,16,16,1,4,16,16,16,11,15,15,2,16,16,16,16,15,16,16,15,15,13,1,1,16,16,8,16,10,1,16,P.J. Tucker
By Year,2023-24,1610612754,IND,2024-02-26T00:00:00,55,31,24,0.564,1509.3833333333334,345,652,0.529,75,224,0.335,191,242,0.789,89,300,389,73,83,32,95,32,174,201,956,137,1830.3,12,0,1747.0,7,6,1,4,6,4,4,2,4,3,7,3,3,2,4,6,6,5,6,7,8,7,5,4,4,2,5,4,1,4,Myles Turner
By Year,2023-24,1610612743,DEN,2024-01-25T00:00:00,9,6,3,0.667,26.808333333333334,1,7,0.143,0,6,0.0,0,0,0.0,0,6,6,1,2,0,0,0,6,0,2,2,8.7,0,0,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Hunter Tyson
By Year,2023-24,1610612765,DET,2024-02-10T00:00:00,17,2,15,0.118,189.94333333333333,25,52,0.481,17,31,0.548,22,24,0.917,4,27,31,9,11,4,5,3,28,17,89,-38,155.7,0,0,164.0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,Stanley Umude
By Year,2023-24,1610612740,NOP,2024-02-25T00:00:00,58,34,24,0.586,1483.61,320,560,0.571,32,93,0.344,129,162,0.796,155,403,558,132,80,26,59,39,169,145,801,130,1843.6,30,0,1693.0,11,7,5,6,10,9,9,5,3,3,7,11,11,6,10,9,9,3,11,7,9,5,4,11,9,4,9,5,2,9,Jonas Valanciunas
By Year,2023-24,1610612745,HOU,2024-02-25T00:00:00,50,24,26,0.48,1832.3083333333334,275,672,0.409,147,391,0.376,128,150,0.853,20,167,187,399,85,57,46,22,112,126,825,100,1871.9,15,0,1764.0,7,7,5,7,5,5,5,4,4,4,6,5,5,4,6,5,5,3,5,6,1,2,3,5,5,7,5,1,3,5,Fred VanVleet
By Year,2023-24,1610612747,LAL,2024-02-01T00:00:00,29,14,15,0.483,581.2366666666667,59,114,0.518,8,27,0.296,24,36,0.667,41,97,138,36,28,36,5,13,43,40,150,43,464.6,0,0,414.0,4,5,5,6,5,5,5,6,3,3,3,5,5,3,5,5,5,5,5,4,5,5,4,5,5,2,5,5,1,5,Jarred Vanderbilt
By Year,2023-24,1610612759,SAS,2024-02-25T00:00:00,53,11,42,0.208,1683.6316666666667,373,798,0.467,133,353,0.377,133,166,0.801,23,174,197,198,77,53,18,27,53,123,1012,-262,1681.4,0,0,1682.0,3,4,3,4,2,1,1,1,2,2,2,1,1,3,3,2,2,1,1,2,2,4,1,1,1,3,2,2,1,2,Devin Vassell
By Year,2023-24,1610612758,SAC,2024-02-09T00:00:00,35,18,17,0.514,439.69166666666666,74,165,0.448,38,100,0.38,10,13,0.769,30,56,86,15,11,16,7,9,35,15,196,2,379.7,0,0,381.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Sasha Vezenkov
By Year,2023-24,1610612747,LAL,2023-12-20T00:00:00,5,2,3,0.4,127.41,12,32,0.375,2,17,0.118,1,2,0.5,2,3,5,15,2,6,0,1,12,3,27,-2,71.5,0,0,61.0,5,5,1,5,4,4,5,4,5,5,5,4,4,4,4,5,4,4,4,4,4,1,2,4,4,2,4,2,1,4,Gabe Vincent
By Year,2023-24,1610612741,CHI,2024-02-25T00:00:00,52,25,27,0.481,1790.6933333333334,392,827,0.474,59,215,0.274,74,86,0.86,144,411,555,176,80,37,43,39,133,98,917,-57,2007.0,31,0,1867.0,11,8,3,5,10,11,11,10,7,6,11,12,12,2,8,11,10,8,12,12,11,7,4,12,11,8,11,9,6,11,Nikola Vucevic
By Year,2023-24,1610612739,CLE,2024-02-25T00:00:00,47,32,15,0.681,962.0783333333334,82,201,0.408,69,175,0.394,15,19,0.789,33,160,193,37,19,37,18,2,85,31,248,188,681.1,0,0,657.0,3,1,3,2,3,3,3,5,2,2,2,3,4,1,2,2,2,3,2,1,3,2,3,2,3,1,2,3,1,2,Dean Wade
By Year,2023-24,1610612753,ORL,2024-02-25T00:00:00,50,29,21,0.58,1660.89,385,808,0.476,80,254,0.315,188,221,0.851,53,228,281,203,102,53,17,57,117,198,1038,96,1787.7,0,0,1742.0,3,2,1,1,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,2,1,1,2,3,1,3,3,1,3,Franz Wagner
By Year,2023-24,1610612753,ORL,2024-02-25T00:00:00,56,31,25,0.554,1028.6966666666667,238,404,0.589,27,82,0.329,125,156,0.801,90,163,253,66,66,28,18,32,120,144,628,41,1102.6,2,0,1066.0,3,1,4,2,2,1,1,1,3,3,3,2,2,6,1,3,2,3,2,2,2,8,5,2,1,1,2,3,1,2,Moritz Wagner
By Year,2023-24,1610612757,POR,2024-01-03T00:00:00,7,1,6,0.143,45.88333333333333,6,18,0.333,6,16,0.375,2,2,1.0,0,9,9,0,1,2,1,0,4,2,20,0,38.8,0,0,41.0,3,3,1,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,1,1,3,3,3,3,1,1,3,Ish Wainright
By Year,2023-24,1610612757,POR,2024-02-25T00:00:00,52,14,38,0.269,1140.1483333333333,156,337,0.463,27,101,0.267,86,114,0.754,105,225,330,41,49,31,20,38,116,87,425,-229,986.5,5,0,925.0,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,Jabari Walker
By Year,2023-24,1610612754,IND,2024-02-26T00:00:00,19,8,11,0.421,180.36166666666668,28,67,0.418,12,33,0.364,6,7,0.857,8,23,31,21,10,9,6,1,18,9,74,-10,177.7,0,0,168.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jarace Walker
By Year,2023-24,1610612751,BKN,2024-02-26T00:00:00,37,16,21,0.432,668.1566666666666,152,330,0.461,78,182,0.429,37,48,0.771,9,72,81,57,37,25,10,16,43,34,419,65,669.7,0,0,705.0,5,5,2,5,5,4,5,1,4,4,1,5,5,5,5,5,5,5,5,5,5,2,2,5,4,1,5,1,1,5,Lonnie Walker IV
By Year,2023-24,1610612760,OKC,2024-02-25T00:00:00,57,40,17,0.702,1179.9983333333332,151,297,0.508,69,164,0.421,22,26,0.846,36,92,128,77,26,41,25,14,94,29,393,98,834.1,0,0,799.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cason Wallace
By Year,2023-24,1610612738,BOS,2024-02-14T00:00:00,4,4,0,1.0,33.0,1,5,0.2,0,3,0.0,0,0,0.0,2,9,11,2,2,2,1,0,5,0,2,25,25.2,0,0,21.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Jordan Walsh
By Year,2023-24,-1,TOT,2024-02-25T00:00:00,49,13,36,0.265,1434.7066666666667,243,552,0.44,83,265,0.313,71,102,0.696,57,203,260,105,76,42,34,30,125,86,640,-244,1261.5,2,0,1240.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,P.J. Washington
By Year,2023-24,1610612742,DAL,2024-02-25T00:00:00,5,4,1,0.8,149.135,16,43,0.372,4,21,0.19,4,8,0.5,4,24,28,8,10,4,2,3,13,8,40,45,93.6,0,0,92.0,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,2,6,6,1,6,P.J. Washington
By Year,2023-24,1610612766,CHA,2024-02-07T00:00:00,44,9,35,0.205,1285.5716666666667,227,509,0.446,79,244,0.324,67,94,0.713,53,179,232,97,66,38,32,27,112,78,600,-289,1167.9,2,0,1148.0,5,5,4,6,5,5,5,3,5,4,5,4,4,4,5,5,5,5,5,5,5,3,2,4,5,5,5,5,1,5,P.J. Washington
By Year,2023-24,1610612749,MIL,2024-02-13T00:00:00,5,3,2,0.6,20.683333333333334,1,7,0.143,1,3,0.333,0,0,0.0,0,1,1,1,2,2,0,0,0,1,3,-3,9.7,0,0,10.0,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,TyTy Washington Jr.
By Year,2023-24,-1,TOT,2024-02-26T00:00:00,32,18,14,0.563,439.90833333333336,41,114,0.36,25,84,0.298,10,15,0.667,11,41,52,13,17,11,7,5,36,13,117,-45,235.9,0,0,243.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Yuta Watanabe
By Year,2023-24,1610612763,MEM,2024-02-26T00:00:00,3,1,2,0.333,57.748333333333335,6,17,0.353,1,9,0.111,0,0,0.0,0,7,7,3,1,2,0,1,2,2,13,-9,30.9,0,0,28.0,7,7,1,6,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,4,7,2,1,7,Yuta Watanabe
By Year,2023-24,1610612756,PHX,2024-02-06T00:00:00,29,17,12,0.586,382.16,35,97,0.361,24,75,0.32,10,15,0.667,11,34,45,10,16,9,7,4,34,11,104,-36,205.0,0,0,215.0,4,4,4,1,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,1,4,Yuta Watanabe
By Year,2023-24,1610612760,OKC,2024-02-22T00:00:00,24,17,7,0.708,169.96833333333333,23,52,0.442,21,48,0.438,0,0,0.0,1,22,23,12,4,1,4,0,17,0,67,-21,123.6,0,0,133.0,3,2,1,1,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,3,3,2,3,1,1,3,Lindy Waters III
By Year,2023-24,1610612751,BKN,2024-02-26T00:00:00,40,15,25,0.375,470.26,92,169,0.544,14,36,0.389,36,41,0.878,32,71,103,55,26,15,9,12,64,34,234,13,486.1,0,0,454.0,3,3,1,2,3,3,3,2,2,3,2,3,3,1,3,3,3,3,3,3,3,1,1,3,3,1,3,3,1,3,Trendon Watford
By Year,2023-24,1610612743,DEN,2024-02-25T00:00:00,56,38,18,0.679,1020.6783333333333,146,308,0.474,40,116,0.345,54,79,0.684,37,127,164,57,42,31,53,22,98,56,386,-54,878.3,0,0,815.0,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,Peyton Watson
By Year,2023-24,1610612759,SAS,2024-02-25T00:00:00,52,11,41,0.212,1481.2583333333334,394,844,0.467,82,258,0.318,204,251,0.813,113,412,525,171,178,67,171,21,110,269,1074,-180,2496.5,29,2,2328.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Victor Wembanyama
By Year,2023-24,1610612759,SAS,2024-02-25T00:00:00,37,8,29,0.216,487.96666666666664,60,119,0.504,4,28,0.143,25,42,0.595,11,34,45,98,29,19,4,7,55,27,149,-97,390.0,0,0,342.0,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,Blake Wesley
By Year,2023-24,1610612746,LAC,2024-02-25T00:00:00,56,37,19,0.661,1284.8583333333333,252,557,0.452,37,136,0.272,86,129,0.667,79,213,292,252,117,62,21,37,97,103,627,52,1487.4,7,0,1374.0,14,10,3,6,16,16,16,5,13,13,14,16,16,12,14,14,15,16,16,15,8,2,2,16,16,12,16,15,15,16,Russell Westbrook
By Year,2023-24,1610612741,CHI,2024-02-25T00:00:00,57,27,30,0.474,2068.185,396,866,0.457,163,413,0.395,158,190,0.832,30,239,269,296,125,41,13,46,134,226,1113,-5,1916.8,3,0,1949.0,5,4,2,3,2,1,2,1,1,2,1,1,1,4,1,2,2,2,2,3,2,3,3,1,1,2,1,2,1,1,Coby White
By Year,2023-24,1610612738,BOS,2024-02-24T00:00:00,53,43,10,0.811,1711.12,290,619,0.468,144,358,0.402,111,124,0.895,34,171,205,252,85,55,62,23,112,118,835,452,1725.0,3,0,1670.0,4,2,2,1,3,2,2,3,2,2,2,4,4,1,4,4,4,4,5,2,2,4,4,5,2,2,2,2,1,2,Derrick White
By Year,2023-24,1610612751,BKN,2023-12-27T00:00:00,2,1,1,0.5,23.983333333333334,1,5,0.2,0,3,0.0,1,2,0.5,0,4,4,3,0,0,1,1,0,1,3,-22,15.3,0,0,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Dariq Whitehead
By Year,2023-24,1610612745,HOU,2024-02-25T00:00:00,31,12,19,0.387,537.53,136,286,0.476,53,138,0.384,49,74,0.662,20,92,112,14,29,19,9,21,42,50,374,-45,584.4,1,0,609.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Cam Whitmore
By Year,2023-24,1610612760,OKC,2024-02-25T00:00:00,54,39,15,0.722,775.52,130,224,0.58,44,85,0.518,31,40,0.775,38,88,126,49,33,28,7,18,64,33,335,46,631.7,0,0,624.0,2,1,1,1,3,3,3,1,2,3,1,3,3,2,3,3,3,3,3,3,3,1,1,3,3,1,3,2,1,3,Aaron Wiggins
By Year,2023-24,1610612744,GSW,2024-02-25T00:00:00,51,25,26,0.49,1388.0516666666667,249,547,0.455,59,168,0.351,93,128,0.727,79,139,218,88,63,29,27,31,113,115,650,-97,1148.6,2,0,1127.0,8,7,3,5,9,10,9,6,8,9,5,9,9,4,8,9,9,9,9,9,10,3,4,9,9,9,10,4,2,10,Andrew Wiggins
By Year,2023-24,1610612749,MIL,2023-12-17T00:00:00,3,3,0,1.0,7.63,2,5,0.4,0,2,0.0,2,2,1.0,0,0,0,0,1,0,0,0,1,1,6,-10,5.0,0,0,6.0,3,3,1,1,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,2,3,1,1,3,3,1,3,2,1,3,Lindell Wigginton
By Year,2023-24,-1,TOT,2024-02-25T00:00:00,53,29,24,0.547,1409.4616666666666,161,381,0.423,93,246,0.378,57,74,0.77,52,144,196,91,62,27,29,20,150,79,472,-58,949.7,1,0,964.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Grant Williams
By Year,2023-24,1610612766,CHA,2024-02-25T00:00:00,6,5,1,0.833,167.74666666666667,30,64,0.469,14,36,0.389,16,19,0.842,6,21,27,10,9,3,2,4,13,15,90,58,143.4,1,0,151.0,6,6,1,1,6,6,6,2,6,6,3,6,6,2,6,6,6,6,6,6,6,1,1,6,6,4,6,2,1,6,Grant Williams
By Year,2023-24,1610612742,DAL,2024-02-06T00:00:00,47,24,23,0.511,1241.715,131,317,0.413,79,210,0.376,41,55,0.745,46,123,169,81,53,24,27,16,137,64,382,-116,806.3,0,0,813.0,5,5,3,5,3,3,3,5,3,3,4,3,3,4,5,4,5,2,4,5,4,4,2,3,3,6,3,4,1,3,Grant Williams
By Year,2023-24,1610612760,OKC,2024-02-25T00:00:00,51,35,16,0.686,1630.6983333333333,381,704,0.541,77,171,0.45,133,166,0.801,26,179,205,237,87,50,26,39,137,135,972,287,1714.5,2,0,1643.0,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,Jalen Williams
By Year,2023-24,1610612760,OKC,2024-02-25T00:00:00,48,34,14,0.708,597.3,61,157,0.389,36,101,0.356,22,27,0.815,26,130,156,65,19,19,17,9,67,37,180,113,553.7,0,0,509.0,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,Jaylin Williams
By Year,2023-24,1610612760,OKC,2024-02-25T00:00:00,46,34,12,0.739,676.465,83,178,0.466,39,95,0.411,3,10,0.3,34,94,128,56,17,25,6,13,66,24,208,124,521.6,0,0,493.0,4,1,1,1,6,5,5,3,5,6,2,6,6,6,6,6,6,6,6,6,6,2,1,6,5,1,6,3,1,6,Kenrich Williams
By Year,2023-24,1610612766,CHA,2023-12-08T00:00:00,19,7,12,0.368,508.39166666666665,98,151,0.649,0,0,0.0,46,64,0.719,76,108,184,22,17,16,20,18,50,53,242,-21,586.8,8,0,520.0,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,Mark Williams
By Year,2023-24,1610612745,HOU,2024-02-22T00:00:00,11,3,8,0.273,76.06666666666666,14,30,0.467,1,3,0.333,4,7,0.571,8,2,10,6,2,2,0,5,9,4,33,23,58.0,0,0,54.0,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,Nate Williams
By Year,2023-24,1610612741,CHI,2024-01-25T00:00:00,43,19,24,0.442,1174.085,159,359,0.443,59,148,0.399,52,66,0.788,46,120,166,66,57,40,33,28,87,52,429,-14,889.2,0,0,866.0,3,3,2,3,3,3,3,4,2,2,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,1,3,4,1,3,Patrick Williams
By Year,2023-24,1610612763,MEM,2024-02-26T00:00:00,48,20,28,0.417,942.2816666666666,138,347,0.398,54,175,0.309,56,69,0.812,32,129,161,71,61,34,9,25,81,68,386,-237,753.7,1,0,758.0,2,3,3,3,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,2,2,3,2,1,2,3,2,1,1,2,Ziaire Williams
By Year,2023-24,1610612757,POR,2023-11-05T00:00:00,6,2,4,0.333,118.75,17,26,0.654,0,0,0.0,7,9,0.778,11,27,38,5,7,7,7,4,17,8,41,-30,129.1,0,0,112.0,6,6,1,6,6,6,6,6,1,4,1,6,6,1,6,6,6,6,6,6,6,2,1,6,6,5,6,4,2,6,Robert Williams III
